2,225.26
17,59.28
3,44.49
17,88.43
5,107.67
13,397.84
17,363.24
4,367.39
7,486.54
16,353.91
19,76.05
14,248.1
3,440.91
2,207.3
10,220.28
14,243.84
1,83.39
7,183.02
4,209.76
16,93.36
19,470.43
15,242.17
6,445.05
20,462.7
20,473.95
3,312.29
1,129.93
16,336.6
8,113.07
2,429.57
13,397.59
15,225.58
4,404.44
12,440.92
5,75.97
8,408.92
12,297.87
20,313.47
20,466.75
2,98.03
5,281.67
5,101.72
10,134.63
17,288.82
16,317.64
17,242.93
13,460.65
15,167.02
7,33.49
19,418.59
6,376.71
12,373.46
2,220.92
12,487.79
13,119.89
3,311.93
14,214.56
8,438.19
4,225.49
15,380.58
3,31.06
8,88.88
18,345.08
8,173.64
1,129.15
20,318.68
8,334.53
16,279.73
5,75.07
3,182.91
8,283.51
2,205.4
2,36.97
12,378.3
2,43.6
12,127.66
3,367.02
6,192.34
6,196.27
15,387.1
20,197.37
8,498.49
12,470.19
5,212.14
3,74.87
11,325.54
5,84.94
15,435.44
